step=860000: nr=713,  gr=798, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=1,cgr=18,cnpr=0,cnrgr=146,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=870000: nr=676,  gr=780, contr1=0, contr2=0, npr=0, c=169, c0=1,cnr=6,cgr=23,cnpr=0,cnrgr=139,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=880000: nr=684,  gr=757, contr1=0, contr2=0, npr=0, c=166, c0=3,cnr=3,cgr=23,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=890000: nr=681,  gr=771, contr1=0, contr2=0, npr=0, c=159, c0=3,cnr=3,cgr=30,cnpr=0,cnrgr=123,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=900000: nr=672,  gr=790, contr1=0, contr2=0, npr=0, c=164, c0=1,cnr=3,cgr=33,cnpr=0,cnrgr=127,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=910000: nr=669,  gr=844, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=1,cgr=30,cnpr=0,cnrgr=134,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=920000: nr=682,  gr=828, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=3,cgr=29,cnpr=0,cnrgr=132,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=930000: nr=734,  gr=837, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=2,cgr=21,cnpr=0,cnrgr=140,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=940000: nr=653,  gr=823, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=2,cgr=31,cnpr=0,cnrgr=130,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=950000: nr=784,  gr=826, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=7,cgr=9,cnpr=0,cnrgr=148,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=960000: nr=763,  gr=827, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=3,cgr=21,cnpr=0,cnrgr=142,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=970000: nr=805,  gr=843, contr1=0, contr2=0, npr=0, c=160, c0=0,cnr=1,cgr=15,cnpr=0,cnrgr=144,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=980000: nr=781,  gr=851, contr1=0, contr2=0, npr=0, c=163, c0=3,cnr=3,cgr=21,cnpr=0,cnrgr=136,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=990000: nr=761,  gr=800, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=3,cgr=20,cnpr=0,cnrgr=139,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1000000: nr=753,  gr=799, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=10,cgr=8,cnpr=0,cnrgr=142,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1010000: nr=835,  gr=730, contr1=0, contr2=0, npr=0, c=169, c0=4,cnr=7,cgr=19,cnpr=0,cnrgr=139,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1020000: nr=756,  gr=736, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=7,cgr=22,cnpr=0,cnrgr=135,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1030000: nr=734,  gr=732, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=4,cgr=22,cnpr=0,cnrgr=138,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1040000: nr=730,  gr=752, contr1=0, contr2=0, npr=0, c=166, c0=5,cnr=6,cgr=23,cnpr=0,cnrgr=132,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1050000: nr=694,  gr=744, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=5,cgr=24,cnpr=0,cnrgr=134,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1060000: nr=675,  gr=755, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=2,cgr=38,cnpr=0,cnrgr=122,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1070000: nr=738,  gr=755, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=7,cgr=27,cnpr=0,cnrgr=126,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1080000: nr=785,  gr=699, contr1=0, contr2=0, npr=0, c=166, c0=4,cnr=9,cgr=23,cnpr=0,cnrgr=130,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1090000: nr=821,  gr=663, contr1=0, contr2=0, npr=0, c=165, c0=4,cnr=7,cgr=19,cnpr=0,cnrgr=135,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1100000: nr=779,  gr=748, contr1=0, contr2=0, npr=0, c=168, c0=2,cnr=6,cgr=25,cnpr=0,cnrgr=135,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1110000: nr=749,  gr=693, contr1=0, contr2=0, npr=0, c=164, c0=3,cnr=6,cgr=27,cnpr=0,cnrgr=128,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1120000: nr=803,  gr=688, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=7,cgr=16,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1130000: nr=793,  gr=678, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=8,cgr=15,cnpr=0,cnrgr=143,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1140000: nr=900,  gr=719, contr1=0, contr2=0, npr=0, c=162, c0=3,cnr=4,cgr=18,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1150000: nr=866,  gr=731, contr1=0, contr2=0, npr=0, c=170, c0=2,cnr=6,cgr=14,cnpr=0,cnrgr=148,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1160000: nr=795,  gr=715, contr1=0, contr2=0, npr=0, c=159, c0=1,cnr=13,cgr=18,cnpr=0,cnrgr=127,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1170000: nr=875,  gr=705, contr1=0, contr2=0, npr=0, c=168, c0=3,cnr=10,cgr=18,cnpr=0,cnrgr=137,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1180000: nr=897,  gr=760, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=3,cgr=16,cnpr=0,cnrgr=142,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1190000: nr=853,  gr=830, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=4,cgr=15,cnpr=0,cnrgr=145,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1200000: nr=827,  gr=724, contr1=0, contr2=0, npr=0, c=159, c0=0,cnr=5,cgr=18,cnpr=0,cnrgr=136,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
