step=1220000: nr=0,  gr=1001, contr1=0, contr2=6, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1230000: nr=0,  gr=1012, contr1=0, contr2=10, npr=0, c=159, c0=2,cnr=0,cgr=157,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1240000: nr=0,  gr=1061, contr1=0, contr2=8, npr=0, c=165, c0=2,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1250000: nr=0,  gr=1032, contr1=0, contr2=14, npr=0, c=163, c0=5,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1260000: nr=0,  gr=937, contr1=0, contr2=13, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1270000: nr=0,  gr=973, contr1=0, contr2=6, npr=0, c=167, c0=4,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1280000: nr=0,  gr=991, contr1=0, contr2=2, npr=0, c=162, c0=2,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1290000: nr=0,  gr=1029, contr1=0, contr2=0, npr=0, c=159, c0=1,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1300000: nr=0,  gr=972, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1310000: nr=0,  gr=1075, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1320000: nr=0,  gr=1011, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1330000: nr=0,  gr=1059, contr1=0, contr2=0, npr=0, c=167, c0=0,cnr=0,cgr=167,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1340000: nr=0,  gr=1020, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1350000: nr=0,  gr=1041, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1360000: nr=0,  gr=1022, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=1370000: nr=0,  gr=1073, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
