----- step=940000: nr=1295 (1001), hr=18 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9392 (2279)  (tn=80640, r=4066)
----- step=950000: nr=1305 (1018), hr=17 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9553 (2314)  (tn=80640, r=4188)
----- step=960000: nr=1264 (1021), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9379 (2306)  (tn=80640, r=4360)
----- step=970000: nr=1301 (1020), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9517 (2312)  (tn=80640, r=3938)
----- step=980000: nr=1266 (1005), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9577 (2286)  (tn=80640, r=3892)
----- step=990000: nr=1223 (1015), hr=16 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9554 (2292)  (tn=80640, r=4068)
----- step=1000000: nr=1198 (940), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9686 (2211)  (tn=80640, r=4331)
----- step=1010000: nr=1138 (925), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9622 (2149)  (tn=80640, r=4516)
----- step=1020000: nr=1186 (958), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9604 (2190)  (tn=80640, r=4605)
----- step=1030000: nr=1194 (998), hr=19 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9603 (2269)  (tn=80640, r=4582)
----- step=1040000: nr=1238 (977), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9555 (2189)  (tn=80640, r=4434)
----- step=1050000: nr=1276 (1059), hr=16 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9545 (2372)  (tn=80640, r=4311)
----- step=1060000: nr=1155 (920), hr=14 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9688 (2135)  (tn=80640, r=4688)
----- step=1070000: nr=1234 (968), hr=20 (11), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9652 (2160)  (tn=80640, r=4781)
----- step=1080000: nr=1206 (951), hr=16 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9847 (2105)  (tn=80640, r=4706)
----- step=1090000: nr=1275 (981), hr=16 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9756 (2242)  (tn=80640, r=4150)
----- step=1100000: nr=1193 (894), hr=20 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9800 (2108)  (tn=80640, r=4063)
----- step=1110000: nr=1282 (972), hr=21 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9692 (2243)  (tn=80640, r=4314)
----- step=1120000: nr=1259 (928), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9778 (2113)  (tn=80640, r=4058)
----- step=1130000: nr=1183 (905), hr=17 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9806 (2138)  (tn=80640, r=4045)
----- step=1140000: nr=1145 (921), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9787 (2146)  (tn=80640, r=4363)
----- step=1150000: nr=1165 (941), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9809 (2166)  (tn=80640, r=4528)
----- step=1160000: nr=1144 (914), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9809 (2181)  (tn=80640, r=4819)
----- step=1170000: nr=1149 (930), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9731 (2124)  (tn=80640, r=5078)
