----- step=1200000: nr=1195 (940), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9534 (2145)  (tn=80640, r=4446)
----- step=1210000: nr=1275 (983), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9633 (2157)  (tn=80640, r=4363)
----- step=1220000: nr=1218 (950), hr=8 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9671 (2161)  (tn=80640, r=4375)
----- step=1230000: nr=1303 (980), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9621 (2246)  (tn=80640, r=3773)
----- step=1240000: nr=1292 (1022), hr=7 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9726 (2275)  (tn=80640, r=3924)
----- step=1250000: nr=1331 (987), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9705 (2140)  (tn=80640, r=4010)
----- step=1260000: nr=1276 (952), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9718 (2108)  (tn=80640, r=3973)
----- step=1270000: nr=1224 (941), hr=21 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9633 (2180)  (tn=80640, r=4478)
----- step=1280000: nr=1264 (962), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9617 (2177)  (tn=80640, r=4483)
----- step=1290000: nr=1272 (938), hr=19 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9689 (2171)  (tn=80640, r=3784)
----- step=1300000: nr=1242 (965), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9644 (2196)  (tn=80640, r=4400)
----- step=1310000: nr=1209 (964), hr=12 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9619 (2208)  (tn=80640, r=4791)
----- step=1320000: nr=1216 (1026), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9536 (2302)  (tn=80640, r=4947)
----- step=1330000: nr=1216 (988), hr=15 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9578 (2238)  (tn=80640, r=4961)
----- step=1340000: nr=1213 (957), hr=15 (11), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9571 (2201)  (tn=80640, r=4478)
----- step=1350000: nr=1220 (984), hr=14 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9586 (2265)  (tn=80640, r=4966)
----- step=1360000: nr=1270 (982), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9626 (2186)  (tn=80640, r=4573)
----- step=1370000: nr=1255 (974), hr=18 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9662 (2198)  (tn=80640, r=4305)
----- step=1380000: nr=1341 (1045), hr=15 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9617 (2339)  (tn=80640, r=4449)
----- step=1390000: nr=1355 (1046), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9573 (2286)  (tn=80640, r=4679)
----- step=1400000: nr=1259 (994), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9668 (2265)  (tn=80640, r=4677)
----- step=1410000: nr=1259 (1045), hr=9 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9498 (2280)  (tn=80640, r=4806)
----- step=1420000: nr=1121 (932), hr=17 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9594 (2152)  (tn=80640, r=4810)
----- step=1430000: nr=1226 (1036), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9631 (2257)  (tn=80640, r=4791)
----- step=1440000: nr=1249 (974), hr=13 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9855 (2114)  (tn=80640, r=4495)
----- step=1450000: nr=1249 (953), hr=18 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9742 (2183)  (tn=80640, r=4422)
----- step=1460000: nr=1242 (1003), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9691 (2252)  (tn=80640, r=4405)
----- step=1470000: nr=1306 (1022), hr=19 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9606 (2312)  (tn=80640, r=4152)
----- step=1480000: nr=1196 (932), hr=23 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9686 (2190)  (tn=80640, r=4249)
----- step=1490000: nr=1143 (888), hr=20 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9756 (2061)  (tn=80640, r=4533)
----- step=1500000: nr=1169 (936), hr=19 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9704 (2168)  (tn=80640, r=4792)
