step=1310000: nr=1352 (980), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9312 (2230)  (tn=80640, r=4154)
step=1320000: nr=1387 (1006), hr=8 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9272 (2294)  (tn=80640, r=4315)
step=1330000: nr=1432 (1045), hr=8 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9336 (2369)  (tn=80640, r=4023)
step=1340000: nr=1358 (986), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9269 (2237)  (tn=80640, r=3901)
step=1350000: nr=1334 (992), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9331 (2246)  (tn=80640, r=4184)
step=1360000: nr=1400 (1028), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9317 (2284)  (tn=80640, r=4237)
step=1370000: nr=1443 (1068), hr=11 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9231 (2355)  (tn=80640, r=4154)
step=1380000: nr=1381 (1001), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9203 (2209)  (tn=80640, r=4446)
step=1390000: nr=1375 (1039), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9306 (2305)  (tn=80640, r=4424)
step=1400000: nr=1406 (1052), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9222 (2366)  (tn=80640, r=4577)
step=1410000: nr=1482 (1065), hr=14 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9105 (2383)  (tn=80640, r=4540)
step=1420000: nr=1436 (1021), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9247 (2281)  (tn=80640, r=4102)
step=1430000: nr=1491 (1093), hr=17 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9274 (2362)  (tn=80640, r=3896)
step=1440000: nr=1438 (1038), hr=15 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9297 (2302)  (tn=80640, r=4022)
step=1450000: nr=1359 (972), hr=13 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9289 (2210)  (tn=80640, r=4341)
step=1460000: nr=1447 (1051), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9325 (2248)  (tn=80640, r=4313)
step=1470000: nr=1395 (1009), hr=9 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9337 (2263)  (tn=80640, r=4160)
step=1480000: nr=1457 (957), hr=15 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9300 (2169)  (tn=80640, r=3924)
step=1490000: nr=1448 (998), hr=7 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9348 (2263)  (tn=80640, r=4002)
step=1500000: nr=1365 (966), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9416 (2209)  (tn=80640, r=3597)
