step=920000: nr=1357 (1088), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9293 (2379)  (tn=80640, r=4255)
step=930000: nr=1327 (1045), hr=15 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9272 (2363)  (tn=80640, r=4407)
step=940000: nr=1417 (1059), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9406 (2361)  (tn=80640, r=4056)
step=950000: nr=1421 (1046), hr=8 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9415 (2345)  (tn=80640, r=3811)
step=960000: nr=1324 (963), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9592 (2163)  (tn=80640, r=3815)
step=970000: nr=1350 (1045), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9491 (2309)  (tn=80640, r=4081)
step=980000: nr=1356 (1007), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9431 (2271)  (tn=80640, r=3674)
step=990000: nr=1366 (1018), hr=16 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9482 (2258)  (tn=80640, r=3721)
step=1000000: nr=1249 (976), hr=16 (11), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9535 (2250)  (tn=80640, r=4129)
step=1010000: nr=1274 (965), hr=19 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9486 (2221)  (tn=80640, r=4203)
step=1020000: nr=1312 (973), hr=15 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9531 (2247)  (tn=80640, r=4057)
step=1030000: nr=1300 (1036), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9387 (2417)  (tn=80640, r=3944)
step=1040000: nr=1307 (998), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9389 (2266)  (tn=80640, r=4023)
step=1050000: nr=1298 (1013), hr=18 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9445 (2313)  (tn=80640, r=4036)
step=1060000: nr=1253 (1022), hr=17 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9454 (2341)  (tn=80640, r=4334)
step=1070000: nr=1231 (972), hr=19 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9393 (2302)  (tn=80640, r=4505)
step=1080000: nr=1274 (990), hr=23 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9468 (2197)  (tn=80640, r=4603)
step=1090000: nr=1305 (1030), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9362 (2349)  (tn=80640, r=4805)
step=1100000: nr=1342 (1092), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9440 (2337)  (tn=80640, r=4648)
step=1110000: nr=1351 (1025), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9393 (2307)  (tn=80640, r=4622)
step=1120000: nr=1352 (1016), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9396 (2300)  (tn=80640, r=4814)
step=1130000: nr=1286 (976), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9395 (2241)  (tn=80640, r=4669)
step=1140000: nr=1299 (1032), hr=11 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9394 (2347)  (tn=80640, r=4758)
step=1150000: nr=1354 (1035), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9360 (2352)  (tn=80640, r=4752)
step=1160000: nr=1394 (1045), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9485 (2298)  (tn=80640, r=4376)
step=1170000: nr=1253 (948), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9529 (2123)  (tn=80640, r=4259)
step=1180000: nr=1318 (1060), hr=11 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9487 (2383)  (tn=80640, r=4491)
step=1190000: nr=1344 (1071), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9378 (2331)  (tn=80640, r=4737)
step=1200000: nr=1266 (990), hr=8 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9492 (2204)  (tn=80640, r=4549)
step=1210000: nr=1292 (994), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9419 (2252)  (tn=80640, r=4777)
